"","b"
"91",0.00417984269190877
"92",0.00429258412780881
"93",0.00433618153399315
"94",0.00434735900166787
"95",0.00440165772566164
"96",0.00444891037810332
"97",0.00450365846785287
"98",0.00456587568552371
"99",0.00460168510721621
"100",0.00463741736977419
"101",0.0047048466724769
"102",0.00473030212135792
"103",0.00477582397982283
"104",0.00482227813479514
"105",0.00485767633975603
"106",0.00489918677135226
"107",0.00499376818048691
"108",0.00504544409618587
"109",0.00504564149301743
"110",0.00505024608091393
"111",0.00525418258523663
"112",0.00526046440992384
"113",0.00526786738138293
"114",0.00551386221156893
"115",0.00552376880429887
"116",0.00553428402751864
"117",0.00553964816644982
"118",0.00555179796384424
"119",0.00563586935652578
"120",0.00567808787496328
"121",0.00569329019738378
"122",0.00570863654623236
"123",0.00573614559478946
"124",0.00575882179525634
"125",0.00577988563079121
"126",0.00579172999835078
"127",0.00579721288891365
"128",0.00591188908214431
"129",0.00594603333546566
"130",0.00619435082337769
"131",0.00623132031674178
"132",0.00623870938835848
"133",0.00637151043707931
"134",0.00637301386219537
"135",0.00661969504762318
"136",0.00676517245154044
"137",0.00678282424364789
"138",0.00688032151900628
"139",0.00702548533435743
"140",0.00706802844976344
"141",0.00721409587263679
"142",0.00733495371385705
"143",0.00733728559190504
"144",0.00734680249291013
"145",0.00738956939054305
"146",0.00742962904926697
"147",0.00748031961344382
"148",0.00750214986147449
"149",0.00764139446254228
"150",0.007649278133202
"151",0.00783367832135474
"152",0.00784639437584369
"153",0.00794491410563561
"154",0.00798202717357301
"155",0.0082442908056304
"156",0.00845259475441969
"157",0.00846833817952611
"158",0.00849006135603389
"159",0.00858374369139144
"160",0.00862583720955923
"161",0.00867177322794693
"162",0.00876649321218266
"163",0.00877049508148131
"164",0.00884225967296688
"165",0.0090378571528487
"166",0.00914539131046466
"167",0.00919071972668226
"168",0.00920130927658612
"169",0.00922813779043162
"170",0.00927518440923975
"171",0.00932987641616202
"172",0.00938960150485027
"173",0.00941772988013396
"174",0.00968255994455168
"175",0.0101067569117426
"176",0.010297886434714
"177",0.0103212557526255
"178",0.0105786255582386
"179",0.0107282096384614
"180",0.0107590695906229
"181",0.0109171057962551
"182",0.0110500079193835
"183",0.0114686321098913
"184",0.011691091896835
"185",0.011698376454133
"186",0.0117307096962118
"187",0.0118617302837741
"188",0.0118825128649867
"189",0.0119091247543433
"190",0.012052381524354
"191",0.0120831869569135
"192",0.0120904213238162
"193",0.0121253442297969
"194",0.012477405338545
"195",0.0126374297030147
"196",0.0126737071674497
"197",0.012701069938066
"198",0.0127437428253125
"199",0.0130836443552182
"200",0.0131051043202222
"201",0.0132591141774657
"202",0.0136134285700693
"203",0.0138716487394387
"204",0.014763502304374
"205",0.0147978502956127
"206",0.0149415004635436
"207",0.0150099118739542
"208",0.0150323566436043
"209",0.015284372084337
"210",0.0153857131771229
"211",0.015667107251871
